/home/gloria/anaconda3/bin/python /home/gloria/NBIS_python-master/dataanalyze.py
{'score': 0, 'finger1': '2_2', 'finger2': '10_2'}
{'score': 0, 'finger1': '2_2', 'finger2': '10_5'}
{'score': 0, 'finger1': '2_2', 'finger2': '5_8'}
{'score': 0, 'finger1': '2_2', 'finger2': '7_3'}
{'score': 0, 'finger1': '2_2', 'finger2': '7_7'}
{'score': 0, 'finger1': '2_2', 'finger2': '7_8'}
{'score': 0, 'finger1': '1_6', 'finger2': '10_3'}
{'score': 0, 'finger1': '1_6', 'finger2': '5_8'}
{'score': 0, 'finger1': '6_3', 'finger2': '10_3'}
{'score': 0, 'finger1': '6_3', 'finger2': '2_3'}
{'score': 0, 'finger1': '6_3', 'finger2': '3_1'}
{'score': 0, 'finger1': '6_3', 'finger2': '5_8'}
{'score': 0, 'finger1': '6_3', 'finger2': '7_3'}
{'score': 0, 'finger1': '6_3', 'finger2': '7_4'}
{'score': 0, 'finger1': '6_3', 'finger2': '7_5'}
{'score': 0, 'finger1': '6_3', 'finger2': '8_5'}
{'score': 0, 'finger1': '2_4', 'finger2': '5_8'}
{'score': 0, 'finger1': '3_2', 'finger2': '10_1'}
{'score': 0, 'finger1': '3_2', 'finger2': '10_2'}
{'score': 0, 'finger1': '3_2', 'finger2': '5_8'}
{'score': 0, 'finger1': '3_2', 'finger2': '7_3'}
{'score': 0, 'finger1': '3_2', 'finger2': '7_5'}
{'score': 0, 'finger1': '2_6', 'finger2': '10_3'}
{'score': 0, 'finger1': '2_6', 'finger2': '10_4'}
{'score': 0, 'finger1': '2_6', 'finger2': '5_8'}
{'score': 0, 'finger1': '2_6', 'finger2': '6_8'}
{'score': 0, 'finger1': '2_6', 'finger2': '7_2'}
{'score': 0, 'finger1': '2_6', 'finger2': '7_3'}
{'score': 0, 'finger1': '2_6', 'finger2': '7_8'}
{'score': 0, 'finger1': '10_3', 'finger2': '1_6'}
{'score': 0, 'finger1': '10_3', 'finger2': '2_6'}
{'score': 0, 'finger1': '10_3', 'finger2': '3_8'}
{'score': 0, 'finger1': '10_3', 'finger2': '4_1'}
{'score': 0, 'finger1': '10_3', 'finger2': '4_2'}
{'score': 0, 'finger1': '10_3', 'finger2': '5_3'}
{'score': 0, 'finger1': '10_3', 'finger2': '5_8'}
{'score': 0, 'finger1': '10_3', 'finger2': '6_2'}
{'score': 0, 'finger1': '10_3', 'finger2': '6_3'}
{'score': 0, 'finger1': '10_3', 'finger2': '6_7'}
{'score': 0, 'finger1': '10_3', 'finger2': '6_8'}
{'score': 0, 'finger1': '10_3', 'finger2': '7_1'}
{'score': 0, 'finger1': '10_3', 'finger2': '7_3'}
{'score': 0, 'finger1': '10_3', 'finger2': '8_3'}
{'score': 0, 'finger1': '10_3', 'finger2': '9_2'}
{'score': 0, 'finger1': '10_3', 'finger2': '9_8'}
{'score': 0, 'finger1': '3_8', 'finger2': '10_3'}
{'score': 0, 'finger1': '3_8', 'finger2': '5_8'}
{'score': 0, 'finger1': '3_8', 'finger2': '7_5'}
{'score': 0, 'finger1': '4_8', 'finger2': '10_1'}
{'score': 0, 'finger1': '4_8', 'finger2': '7_8'}
